,name,rating,reviews,companytype,numemployee
2094,DATAMARK BPO SERVICE (P) LTD,3.9,306,BPO , 1k-5k Employees 
2095,IIC Technologies,3.8,306,IT Services & Consulting , 1k-5k Employees 
2096,UCAL Fuel Systems,3.8,306,Auto Components , 501-1k Employees 
2097,Zolo,3.6,306,Internet , 501-1k Employees 
2098,HealthifyMe,3.2,306,Healthcare , 201-500 Employees 
2099,Enco Engineers Combine,3.8,306,Auto Components , 51-200 Employees 
2100,DATAMARK BPO SERVICE (P) LTD,3.9,306,BPO , 1k-5k Employees 
2101,Samsung C&T,4.2,306,Engineering & Construction , 501-1k Employees 
2102,Zealous Services,3.3,306,BPO , 501-1k Employees 
2103,Sleek International,3.8,305,Furniture & Furnishing , 501-1k Employees 
2104,Audi,3.9,305,Automobile , 201-500 Employees 
2105,Satyam Venture Engineering Services,4.1,305,Engineering & Construction , 501-1k Employees 
2106,Anmol Industries,4.1,305,Food Processing , 501-1k Employees 
2107,Legrand,3.7,305,Electrical Equipment , 1k-5k Employees 
2108,Keysight Technologies,4.1,305,Electronics Manufacturing , 1k-5k Employees 
2109,R.S. Infraprojects,4.0,305,Real Estate , 501-1k Employees 
2110,DesignTech Systems,3.4,305,IT Services & Consulting , 501-1k Employees 
2111,Brembo Brake India,4.3,305,Auto Components , 201-500 Employees 
2112,Railtel Corporation Of India,3.8,305,Hardware & Networking , 1k-5k Employees 
2113,MAYORA,3.7,305,Beverage , 1k-5k Employees 
2114,ITI,3.8,304,Hardware & Networking , 501-1k Employees 
2115,STUP Consultants,3.9,304,Engineering & Construction , 1k-5k Employees 
2116,Montecarlo Construction,4.1,304,Engineering & Construction , 1k-5k Employees 
2117,Alorica,3.1,304,BPO , 1k-5k Employees 
2118,Indostar Capital Finance,4.1,303,NBFC , 1k-5k Employees 
2119,Royal Orchid Hotels,4.0,303,Hospitality , 1k-5k Employees 
2120,Powerweave,3.6,303,BPO , 501-1k Employees 
2121,Air India Air Transport Services,3.4,303,Facility Management Services , 10k-50k Employees (Global) 
2122,Rusan Pharma,3.4,303,Pharma , 501-1k Employees 
2123,ANAROCK Property Consultants,3.8,303,Real Estate , 501-1k Employees 
2124,Worldline Global Services,4.0,303,IT Services & Consulting , 1k-5k Employees 
2125,Grass Roots Research & Creation,4.9,303,Analytics & KPO , 201-500 Employees 
2126,_VOIS,4.2,303,Telecom , 10k-50k Employees (Global) 
2127,PK,3.8,302,IT Services & Consulting , 1k-5k Employees 
2128,Dusters Total Solutions Services,3.9,302,Facility Management Services , 501-1k Employees 
2129,Bharat Fritz Werner,3.8,302,Industrial Machinery , 501-1k Employees 
2130,Teleysia Networks,3.6,302,Telecom , 201-500 Employees 
2131,Red Hat,4.4,302,IT Services & Consulting , 1k-5k Employees 
2132,Magic Bus India Foundation,3.9,302,Non-Profit , 1k-5k Employees 
2133,Xdbs,3.2,302,Marketing & Advertising , 1k-5k Employees 
2134,Gainwell Commosales,4.1,302,Industrial Machinery , 1k-5k Employees 
2135,Allianz Services,4.3,302,BPO , 1k-5k Employees 
2136,Dineshchandra R Agarwal Infracon,4.0,301,Engineering & Construction , 11-50 Employees 
2137,Senco Gold,4.2,301,Jewellery , 1k-5k Employees 
2138,IKEA,4.1,301,Retail , 10k-50k Employees 
2139,RadiSys,4.4,301,Telecom , 1k-5k Employees 
2140,Dineshchandra R Agarwal Infracon,4.0,301,Engineering & Construction , 11-50 Employees 
2141,Axa XL,3.7,301,Insurance , 1k-5k Employees 
2142,Uplers,4.3,301,IT Services & Consulting , 1k-5k Employees 
2143,Galaxy Surfactants,3.7,300,Chemicals , 1k-5k Employees 
2144,Metalman Auto,3.9,300,Auto Components , 1k-5k Employees 
2145,Electrosteel Casting,3.8,300,Building Material , 1k-5k Employees 
2146,Markets and Markets,3.5,300,Analytics & KPO , 501-1k Employees 
2147,Royal Immigration,5.0,300,Dubai +5 more,
2148,L&T Heavy Engineering,4.4,300,Engineering & Construction , 1k-5k Employees 
2149,Texmaco Rail and Engineering,3.8,300,Railways , 1k-5k Employees 
2150,Wissen Infotech,4.1,300,IT Services & Consulting , 1k-5k Employees 
2151,Insolutions Global,3.6,299,FinTech , 1k-5k Employees 
2152,Kirloskar Toyota Textile Machinery,4.5,299,Industrial Machinery , 201-500 Employees 
2153,Aramex,3.7,299,Logistics , 1k-5k Employees 
2154,1 India Family Mart,3.9,299,Retail , 201-500 Employees 
2155,Wolters Kluwer,3.9,299,IT Services & Consulting , 1k-5k Employees 
2156,Trianz,3.6,298,IT Services & Consulting , 1k-5k Employees 
2157,Reliance Jewels,4.1,298,Jewellery , 201-500 Employees 
2158,Ventura Securities,4.0,298,Financial Services , 1k-5k Employees 
2159,Sandoz,4.0,298,Pharma , 1k-5k Employees 
2160,Trianz,3.6,298,IT Services & Consulting , 1k-5k Employees 
2161,RedBus,4.4,298,Internet , 1k-5k Employees 
2162,Infrastructure Leasing & Financial Services,4.0,298,Engineering & Construction , 501-1k Employees 
2163,Eli Lilly and Company,4.2,298,Healthcare , 201-500 Employees 
2164,Sanmina Sci,4.0,298,Electronics Manufacturing , 201-500 Employees 
2165,Essar Projects India,4.0,298,Engineering & Construction , 5k-10k Employees 
2166,Havmor Ice Cream,4.1,298,Food Processing , 501-1k Employees 
2167,Koch Business Solutions,3.7,298,Oil & Gas , 1k-5k Employees 
2168,Toshiba JSW Power Systems,4.4,298,Power , 501-1k Employees 
2169,Munjal Showa,3.6,297,Auto Components , 1k-5k Employees 
2170,Phillips Carbon Black,3.9,297,Chemicals , 501-1k Employees 
2171,Nowfloats Technologies,3.4,297,Software Product , 201-500 Employees 
2172,Schwing Stetter,4.0,297,Industrial Machinery , 1k-5k Employees 
2173,ITC Limited Foods Division,4.0,297,Food Processing , 10k-50k Employees 
2174,Tetra Pak,4.2,296,Packaging , 1k-5k Employees 
2175,Ralson India,3.7,296,Auto Components , 501-1k Employees 
2176,Majesco,3.9,296,IT Services & Consulting , 1k-5k Employees 
2177,EID Parry (India),4.2,296,FMCG , 1k-5k Employees 
2178,RSB Transmissions,3.8,296,Industrial Machinery , 1k-5k Employees 
2179,Jumio,3.7,295,IT Services & Consulting , 201-500 Employees 
